Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"PRDX1","Peroxiredoxin 1","Protein Coding","Q06830","62","GC01M045828","5.29731559753418","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRDX1"
"PLAU","Plasminogen Activator, Urokinase","Protein Coding","P00749","64","GC10P073909","5.29692554473877","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLAU"
"MAT1A","Methionine Adenosyltransferase 1A","Protein Coding","Q00266","59","GC10M080271","5.28147888183594","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAT1A"
"PADI4","Peptidyl Arginine Deiminase 4","Protein Coding","Q9UM07","58","GC01P017308","5.27470827102661","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PADI4"
"PRPF8","Pre-MRNA Processing Factor 8","Protein Coding","Q6P2Q9","54","GC17M001650","5.2723445892334","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRPF8"
"FAAH","Fatty Acid Amide Hydrolase","Protein Coding","O00519","61","GC01P046394","5.26261901855469","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAAH"
"CD36","CD36 Molecule (CD36 Blood Group)","Protein Coding","P16671","63","GC07P080369","5.25347375869751","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD36"
"GMPR","Guanosine Monophosphate Reductase","Protein Coding","P36959","52","GC06P016238","5.2122745513916","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GMPR"
"CD47","CD47 Molecule","Protein Coding","Q08722","58","GC03M108043","5.20312404632568","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD47"
"F7","Coagulation Factor VII","Protein Coding","P08709","61","GC13P113105","5.20195579528809","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F7"
"UGT1A1","UDP Glucuronosyltransferase Family 1 Member A1","Protein Coding","P22309","63","GC02P233760","5.20176362991333","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGT1A1"
"ATF2","Activating Transcription Factor 2","Protein Coding","P15336","60","GC02M175072","5.19825267791748","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATF2"
"CEP290","Centrosomal Protein 290","Protein Coding","O15078","52","GC12M088049","5.19398975372314","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEP290"
"SFTPB","Surfactant Protein B","Protein Coding","P07988","55","GC02M085657","5.19267845153809","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SFTPB"
"ADIPOQ","Adiponectin, C1Q And Collagen Domain Containing","Protein Coding","Q15848","59","GC03P186842","5.17500734329224","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADIPOQ"
"APOBEC3G","Apolipoprotein B MRNA Editing Enzyme Catalytic Subunit 3G","Protein Coding","Q9HC16","52","GC22P081519","5.166823387146","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOBEC3G"
"STXBP1","Syntaxin Binding Protein 1","Protein Coding","P61764","61","GC09P146576","5.16650009155273","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STXBP1"
"QPCT","Glutaminyl-Peptide Cyclotransferase","Protein Coding","Q16769","55","GC02P037344","5.15978956222534","https://www.genecards.org/cgi-bin/carddisp.pl?gene=QPCT"
"CSF2","Colony Stimulating Factor 2","Protein Coding","P04141","58","GC05P132073","5.15095329284668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSF2"
"MYOM1","Myomesin 1","Protein Coding","P52179","51","GC18M003066","5.14478588104248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYOM1"
"RMND1","Required For Meiotic Nuclear Division 1 Homolog","Protein Coding","Q9NWS8","50","GC06M151404","5.13298273086548","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RMND1"
"KCNMA1","Potassium Calcium-Activated Channel Subfamily M Alpha 1","Protein Coding","Q12791","60","GC10M076869","5.13083696365356","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNMA1"
"MTR","5-Methyltetrahydrofolate-Homocysteine Methyltransferase","Protein Coding","Q99707","60","GC01P236795","5.11283445358276","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTR"
"CRMA","Cardiomyocyte Maturation Associated LncRNA","RNA Gene","","22","GC20M062786","5.1092734336853","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRMA"
"SMN2","Survival Of Motor Neuron 2, Centromeric","Protein Coding","Q16637","51","GC05P070049","5.0995512008667","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMN2"
"SLC7A11","Solute Carrier Family 7 Member 11","Protein Coding","Q9UPY5","57","GC04M138164","5.09326791763306","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC7A11"
"GPD1","Glycerol-3-Phosphate Dehydrogenase 1","Protein Coding","P21695","56","GC12P064981","5.09052896499634","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPD1"
"TTC19","Tetratricopeptide Repeat Domain 19","Protein Coding","Q6DKK2","51","GC17P015999","5.08821725845337","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TTC19"
"FUCA1","Alpha-L-Fucosidase 1","Protein Coding","P04066","61","GC01M023845","5.08618927001953","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FUCA1"
"LGSN","Lengsin, Lens Protein With Glutamine Synthetase Domain","Protein Coding","Q5TDP6","43","GC06M063275","5.08126163482666","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LGSN"
"ELANE","Elastase, Neutrophil Expressed","Protein Coding","P08246","63","GC19P131807","5.07927560806274","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELANE"
"BMP6","Bone Morphogenetic Protein 6","Protein Coding","P22004","56","GC06P007726","5.06709289550781","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP6"
"IDH1","Isocitrate Dehydrogenase (NADP(+)) 1","Protein Coding","O75874","65","GC02M208236","5.05836963653564","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IDH1"
"TANGO2","Transport And Golgi Organization 2 Homolog","Protein Coding","Q6ICL3","47","GC22P020017","5.05249214172363","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TANGO2"
"TPI1","Triosephosphate Isomerase 1","Protein Coding","P60174","59","GC12P006867","5.03447961807251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPI1"
"ALDOA","Aldolase, Fructose-Bisphosphate A","Protein Coding","P04075","62","GC16P030064","5.03377532958984","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALDOA"
"TGM5","Transglutaminase 5","Protein Coding","O43548","51","GC15M045021","5.02054738998413","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGM5"
"RBMX","RNA Binding Motif Protein X-Linked","Protein Coding","P38159","54","GC0XM136848","5.01702260971069","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBMX"
"GPC3","Glypican 3","Protein Coding","P51654","59","GC0XM133535","5.01136922836304","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPC3"
"FH","Fumarate Hydratase","Protein Coding","P07954","59","GC01M241499","5.00880432128906","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FH"
"MYO5B","Myosin VB","Protein Coding","Q9ULV0","54","GC18M049822","5.00125169754028","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYO5B"
"PAX2","Paired Box 2","Protein Coding","Q02962","58","GC10P100735","4.99629783630371","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAX2"
"SLC9A1","Solute Carrier Family 9 Member A1","Protein Coding","P19634","62","GC01M032272","4.99404859542847","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC9A1"
"S100B","S100 Calcium Binding Protein B","Protein Coding","P04271","57","GC21M054265","4.96875190734863","https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100B"
"UCHL1","Ubiquitin C-Terminal Hydrolase L1","Protein Coding","P09936","65","GC04P041256","4.95167255401611","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UCHL1"
"PCAT1","Prostate Cancer Associated Transcript 1","RNA Gene","","25","GC08P126553","4.946937084198","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCAT1"
"ATPAF2","ATP Synthase Mitochondrial F1 Complex Assembly Factor 2","Protein Coding","Q8N5M1","51","GC17M017977","4.93374300003052","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATPAF2"
"TRC-GCA24-1","TRNA-Cys (GCA) 24-1","RNA Gene","","15","GC17M089223","4.9321460723877","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRC-GCA24-1"
"DDO","D-Aspartate Oxidase","Protein Coding","Q99489","49","GC06M110391","4.92090797424316","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDO"
"LOXL2","Lysyl Oxidase Like 2","Protein Coding","Q9Y4K0","58","GC08M023296","4.92035341262817","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOXL2"
"PIK3C2A","Phosphatidylinositol-4-Phosphate 3-Kinase Catalytic Subunit Type 2 Alpha","Protein Coding","O00443","59","GC11M018024","4.91580867767334","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3C2A"
"ADAMTS13","ADAM Metallopeptidase With Thrombospondin Type 1 Motif 13","Protein Coding","Q76LX8","61","GC09P133414","4.89790964126587","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAMTS13"
"ETHE1","ETHE1 Persulfide Dioxygenase","Protein Coding","O95571","54","GC19M043506","4.88770866394043","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ETHE1"
"MUC1","Mucin 1, Cell Surface Associated","Protein Coding","P15941","61","GC01M155185","4.87048482894897","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUC1"
"PFKM","Phosphofructokinase, Muscle","Protein Coding","P08237","61","GC12P048105","4.86430549621582","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PFKM"
"PRPS1","Phosphoribosyl Pyrophosphate Synthetase 1","Protein Coding","P60891","59","GC0XP107628","4.83801078796387","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRPS1"
"PDGFB","Platelet Derived Growth Factor Subunit B","Protein Coding","P01127","63","GC22M082423","4.83453321456909","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDGFB"
"CXCL10","C-X-C Motif Chemokine Ligand 10","Protein Coding","P02778","56","GC04M076021","4.83136177062988","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL10"
"PRKAA1","Protein Kinase AMP-Activated Catalytic Subunit Alpha 1","Protein Coding","Q13131","59","GC05M040759","4.82189798355103","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKAA1"
"LOC126862363","BRD4-Independent Group 4 Enhancer GRCh37_chr16:58751959-58753158","Functional Element","","8","GC16P058718","4.81225967407227","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC126862363"
"TRE-TTC3-1","TRNA-Glu (Anticodon TTC) 3-1","RNA Gene","","18","GC01P060692","4.79963731765747","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRE-TTC3-1"
"FARS2","Phenylalanyl-TRNA Synthetase 2, Mitochondrial","Protein Coding","O95363","56","GC06P008239","4.79807043075562","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FARS2"
"FLAD1","Flavin Adenine Dinucleotide Synthetase 1","Protein Coding","Q8NFF5","52","GC01P154983","4.79008674621582","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLAD1"
"MLYCD","Malonyl-CoA Decarboxylase","Protein Coding","O95822","55","GC16P083899","4.78467464447021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLYCD"
"ALDH5A1","Aldehyde Dehydrogenase 5 Family Member A1","Protein Coding","P51649","59","GC06P024494","4.77679443359375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALDH5A1"
"ABCC8","ATP Binding Cassette Subfamily C Member 8","Protein Coding","Q09428","58","GC11M017392","4.7474889755249","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC8"
"TKT","Transketolase","Protein Coding","P29401","58","GC03M053224","4.74244356155396","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TKT"
"NOTCH2","Notch Receptor 2","Protein Coding","Q04721","65","GC01M119911","4.7264723777771","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOTCH2"
"MB","Myoglobin","Protein Coding","P02144","58","GC22M035606","4.71841335296631","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MB"
"EIF4E","Eukaryotic Translation Initiation Factor 4E","Protein Coding","P06730","62","GC04M098879","4.71714353561401","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF4E"
"ALDOB","Aldolase, Fructose-Bisphosphate B","Protein Coding","P05062","59","GC09M101420","4.71537113189697","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALDOB"
"CS","Citrate Synthase","Protein Coding","O75390","58","GC12M056271","4.71320915222168","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CS"
"COQ6","Coenzyme Q6, Monooxygenase","Protein Coding","Q9Y2Z9","55","GC14P073949","4.71102809906006","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COQ6"
"TRPV1","Transient Receptor Potential Cation Channel Subfamily V Member 1","Protein Coding","Q8NER1","61","GC17M003565","4.70500898361206","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRPV1"
"APOBEC3A","Apolipoprotein B MRNA Editing Enzyme Catalytic Subunit 3A","Protein Coding","P31941","49","GC22P038952","4.68854570388794","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOBEC3A"
"GFM1","G Elongation Factor Mitochondrial 1","Protein Coding","Q96RP9","56","GC03P158644","4.67572212219238","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GFM1"
"HDAC3","Histone Deacetylase 3","Protein Coding","O15379","62","GC05M141620","4.66982460021973","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HDAC3"
"OPLAH","5-Oxoprolinase, ATP-Hydrolysing","Protein Coding","O14841","54","GC08M146984","4.66911792755127","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OPLAH"
"ASPH","Aspartate Beta-Hydroxylase","Protein Coding","Q12797","55","GC08M061500","4.65609836578369","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASPH"
"MIP","Major Intrinsic Protein Of Lens Fiber","Protein Coding","P30301","51","GC12M056449","4.65520477294922","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIP"
"CHKB","Choline Kinase Beta","Protein Coding","Q9Y259","57","GC22M050578","4.64654159545898","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHKB"
"KYAT1","Kynurenine Aminotransferase 1","Protein Coding","Q16773","52","GC09M131066","4.64082288742065","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KYAT1"
"LINC01587","Long Intergenic Non-Protein Coding RNA 1587","RNA Gene","Q99440","27","GC04P005524","4.63826656341553","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01587"
"RLBP1","Retinaldehyde Binding Protein 1","Protein Coding","P12271","56","GC15M089209","4.63651561737061","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RLBP1"
"B2M","Beta-2-Microglobulin","Protein Coding","P61769","62","GC15P044711","4.63513374328613","https://www.genecards.org/cgi-bin/carddisp.pl?gene=B2M"
"TRAPPC11","Trafficking Protein Particle Complex Subunit 11","Protein Coding","Q7Z392","49","GC04P183659","4.62520980834961","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAPPC11"
"FOXM1","Forkhead Box M1","Protein Coding","Q08050","56","GC12M002857","4.62056493759155","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXM1"
"CYP7B1","Cytochrome P450 Family 7 Subfamily B Member 1","Protein Coding","O75881","58","GC08M064587","4.62007331848145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP7B1"
"APOBEC3F","Apolipoprotein B MRNA Editing Enzyme Catalytic Subunit 3F","Protein Coding","Q8IUX4","43","GC22P039040","4.61816692352295","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOBEC3F"
"GGT1","Gamma-Glutamyltransferase 1","Protein Coding","P19440","62","GC22P024583","4.5966911315918","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GGT1"
"HNF1A","HNF1 Homeobox A","Protein Coding","P20823","59","GC12P120978","4.59245777130127","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNF1A"
"DUSP19","Dual Specificity Phosphatase 19","Protein Coding","Q8WTR2","50","GC02P183078","4.58782720565796","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DUSP19"
"ALMS1","ALMS1 Centrosome And Basal Body Associated Protein","Protein Coding","Q8TCU4","51","GC02P073385","4.58689069747925","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALMS1"
"KCNJ10","Potassium Inwardly Rectifying Channel Subfamily J Member 10","Protein Coding","P78508","58","GC01M159998","4.58511924743652","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNJ10"
"STXBP2","Syntaxin Binding Protein 2","Protein Coding","Q15833","56","GC19P132125","4.58365201950073","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STXBP2"
"UBE2D1","Ubiquitin Conjugating Enzyme E2 D1","Protein Coding","P51668","56","GC10P058334","4.58013439178467","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE2D1"
"HSD3B7","Hydroxy-Delta-5-Steroid Dehydrogenase, 3 Beta- And Steroid Delta-Isomerase 7","Protein Coding","Q9H2F3","52","GC16P030985","4.57908058166504","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSD3B7"
"SDHC","Succinate Dehydrogenase Complex Subunit C","Protein Coding","Q99643","55","GC01P161314","4.571608543396","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHC"
"TOP1","DNA Topoisomerase I","Protein Coding","P11387","62","GC20P041028","4.56602764129639","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TOP1"
"MIR34C","MicroRNA 34c","RNA Gene","","30","GC11P112711","4.56581497192383","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR34C"
"PDHB","Pyruvate Dehydrogenase E1 Subunit Beta","Protein Coding","P11177","59","GC03M058464","4.56547260284424","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDHB"
"RARS2","Arginyl-TRNA Synthetase 2, Mitochondrial","Protein Coding","Q5T160","54","GC06M101099","4.56393718719482","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RARS2"
"MIR142","MicroRNA 142","RNA Gene","","30","GC17M058331","4.56205701828003","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR142"
"COX6B1","Cytochrome C Oxidase Subunit 6B1","Protein Coding","P14854","55","GC19P132923","4.56020450592041","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COX6B1"
"MPI","Mannose Phosphate Isomerase","Protein Coding","P34949","56","GC15P074890","4.55656290054321","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPI"
"FASN","Fatty Acid Synthase","Protein Coding","P49327","61","GC17M082078","4.55614948272705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FASN"
"VTRNA1-1","Vault RNA 1-1","RNA Gene","","18","GC05P156893","4.54456663131714","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VTRNA1-1"
"COL4A2","Collagen Type IV Alpha 2 Chain","Protein Coding","P08572","59","GC13P110305","4.54182529449463","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL4A2"
"ALDH7A1","Aldehyde Dehydrogenase 7 Family Member A1","Protein Coding","P49419","60","GC05M126541","4.53882884979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALDH7A1"
"EIF4G1","Eukaryotic Translation Initiation Factor 4 Gamma 1","Protein Coding","Q04637","59","GC03P184314","4.52769088745117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF4G1"
"SLC26A4","Solute Carrier Family 26 Member 4","Protein Coding","O43511","55","GC07P107660","4.52503442764282","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC26A4"
"CYC1","Cytochrome C1","Protein Coding","P08574","56","GC08P144095","4.52435493469238","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYC1"
"ASRGL1","Asparaginase And Isoaspartyl Peptidase 1","Protein Coding","Q7L266","50","GC11P062337","4.51961231231689","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASRGL1"
